top - 12:47:31 up  1:13,  4 users,  load average: 0.17, 0.10, 0.12
Tasks: 380 total,   1 running, 379 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.3 us,  4.3 sy,  0.0 ni, 91.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3387.2 total,    116.1 free,   2238.9 used,   1018.8 buff/cache     
MiB Swap:   3263.0 total,   1960.8 free,   1302.2 used.   1148.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    501 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/60-+
    502 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/61-+
    564 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/62-+
    566 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/63-+
    567 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/64-+
    568 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/65-+
    569 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/66-+
    570 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/67-+
    571 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1088 avahi     20   0    6732   3672   3416 S   0.0   0.1   0:00.36 avahi-d+
   1089 message+  20   0   14516   7168   3584 S   0.0   0.2   0:00.86 dbus-da+
   1095 gnome-r+  20   0  523396   9664   9280 S   0.0   0.3   0:00.00 gnome-r+
   1107 polkitd   20   0  390668  11360   7248 S   0.0   0.3   0:00.47 polkitd
   1123 root      20   0  312156   6240   6112 S   0.0   0.2   0:00.16 account+
   1127 root      20   0    9560   2500   2372 S   0.0   0.1   0:00.01 cron
   1128 root      20   0  311124   6380   5868 S   0.0   0.2   0:00.01 switche+
   1146 root      20   0   18428   7924   7188 S   0.0   0.2   0:00.26 systemd+
   1151 root      20   0  473468   9356   8204 S   0.0   0.3   0:00.16 udisksd
   1205 syslog    20   0  220832   3532   3020 S   0.0   0.1   0:00.09 rsyslogd
   1212 avahi     20   0    6380   1584   1456 S   0.0   0.0   0:00.00 avahi-d+
   1256 root      20   0  341716  13992  12584 S   0.0   0.4   0:00.28 Network+
   1263 root      20   0   16900   3476   3348 S   0.0   0.1   0:00.03 wpa_sup+
   1295 root      20   0  397028   6132   5748 S   0.0   0.2   0:00.04 ModemMa+
   1420 root      20   0   34860   8684   8172 S   0.0   0.3   0:00.02 cupsd
   1424 root      20   0  123744   7716   7460 S   0.0   0.2   0:00.03 unatten+
   1437 root      20   0  314380   7260   6876 S   0.0   0.2   0:00.04 gdm3
   1467 cups-br+  20   0  210404  11252  10996 S   0.0   0.3   0:00.02 cups-br+
   1502 rtkit     21   1   21364   2540   2412 S   0.0   0.1   0:00.08 rtkit-d+
   1616 colord    20   0  320172   8024   7640 S   0.0   0.2   0:00.04 colord
   1661 root      20   0  321876   7744   7232 S   0.0   0.2   0:00.04 upowerd
   1884 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1885 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1888 root      20   0  312464   6296   5912 S   0.0   0.2   0:00.02 power-p+
   2077 root      20   0  391764   8320   7936 S   0.0   0.2   0:00.01 gdm-ses+
   2086 dev-alf+  20   0   23420  10620   9212 S   0.0   0.3   0:00.53 systemd
   2087 dev-alf+  20   0   23756   2240   2040 S   0.0   0.1   0:00.00 (sd-pam)
   2100 dev-alf+  20   0    7272   3120   2992 S   0.0   0.1   0:00.00 mpris-p+
   2101 dev-alf+   9 -11  172996   7488   6860 S   0.0   0.2   0:17.35 pipewire
   2102 dev-alf+  20   0   87604   3496   3368 S   0.0   0.1   0:00.00 pipewire
   2106 dev-alf+   9 -11  482504  12788  10856 S   0.0   0.4   0:00.17 wireplu+
   2107 dev-alf+   9 -11  182872   9112   8236 S   0.0   0.3   0:00.04 pipewir+
   2113 dev-alf+  20   0   10032   4816   3536 S   0.0   0.1   0:00.26 dbus-da+
   2117 dev-alf+  20   0  186136   8048   7664 S   0.0   0.2   0:00.01 gnome-k+
   2139 dev-alf+  20   0  684500   6244   5860 S   0.0   0.2   0:00.01 xdg-doc+
